bnti,AI,Altitude,LON,LAT,SOC,N,BD,Ph,NDVI,SAND
9.251018845,1.126388432,4376,101.875,29.83,94.23500214,7.900000095,1.074375,5.353125,0.086347826,38.784375
9.037377429,1.126388432,4376,101.875,29.83,94.23500214,7.900000095,1.074375,5.353125,0.086347826,38.784375
9.29555766,1.126388432,4376,101.875,29.83,94.23500214,7.900000095,1.074375,5.353125,0.086347826,38.784375
8.889083994,1.126388432,4376,101.875,29.83,94.23500214,7.900000095,1.074375,5.353125,0.086347826,38.784375
9.059654723,1.126388432,4376,101.875,29.83,94.23500214,7.900000095,1.074375,5.353125,0.086347826,38.784375
9.006392817,1.126388432,4376,101.875,29.83,94.23500214,7.900000095,1.074375,5.353125,0.086347826,38.784375
9.192035406,1.126388432,4376,101.875,29.83,94.23500214,7.900000095,1.074375,5.353125,0.086347826,38.784375
9.057612108,1.126388432,4376,101.875,29.83,94.23500214,7.900000095,1.074375,5.353125,0.086347826,38.784375
8.810720722,1.126388432,4376,101.875,29.83,94.23500214,7.900000095,1.074375,5.353125,0.086347826,38.784375
7.566432152,1.126388432,4376,101.875,29.83,94.23500214,7.900000095,1.074375,5.353125,0.086347826,38.784375
9.280389945,1.126388432,4376,101.875,29.83,94.23500214,7.900000095,1.074375,5.353125,0.086347826,38.784375
8.652444244,1.126388432,4376,101.875,29.83,94.23500214,7.900000095,1.074375,5.353125,0.086347826,38.784375
9.332424508,1.126388432,4376,101.875,29.83,94.23500214,7.900000095,1.074375,5.353125,0.086347826,38.784375
7.111068174,1.126388432,4376,101.875,29.83,94.23500214,7.900000095,1.074375,5.353125,0.086347826,38.784375
7.765395151,1.126388432,4376,101.875,29.83,94.23500214,7.900000095,1.074375,5.353125,0.086347826,38.784375
7.330549678,1.126388432,4376,101.875,29.83,94.23500214,7.900000095,1.074375,5.353125,0.086347826,38.784375
6.886477743,1.126388432,4376,101.875,29.83,94.23500214,7.900000095,1.074375,5.353125,0.086347826,38.784375
