ACE,AI,Altitude,LON,LAT,SOC,N,BD,Ph,NDVI,SAND
74,0.725644767,3593,101.8833,33.65,71.74239999,4.349600143,1.146,6.904465393,0.485052168,29.00959194
73.375,0.725644767,3593,101.8833,33.65,71.74239999,4.349600143,1.146,6.904465393,0.485052168,29.00959194
63.42857143,0.725644767,3593,101.8833,33.65,71.74239999,4.349600143,1.146,6.904465393,0.485052168,29.00959194
82,0.725644767,3593,101.8833,33.65,71.74239999,4.349600143,1.146,6.904465393,0.485052168,29.00959194
67,0.725644767,3593,101.8833,33.65,71.74239999,4.349600143,1.146,6.904465393,0.485052168,29.00959194
79.5,0.725644767,3593,101.8833,33.65,71.74239999,4.349600143,1.146,6.904465393,0.485052168,29.00959194
83,0.725644767,3593,101.8833,33.65,71.74239999,4.349600143,1.146,6.904465393,0.485052168,29.00959194
57,1.126388432,4376,101.875,29.83,94.23500214,7.900000095,1.074375,5.353125,0.086347826,38.784375
82,1.126388432,4376,101.875,29.83,94.23500214,7.900000095,1.074375,5.353125,0.086347826,38.784375
65.875,1.126388432,4376,101.875,29.83,94.23500214,7.900000095,1.074375,5.353125,0.086347826,38.784375
73,1.126388432,4376,101.875,29.83,94.23500214,7.900000095,1.074375,5.353125,0.086347826,38.784375
50.75,1.126388432,4376,101.875,29.83,94.23500214,7.900000095,1.074375,5.353125,0.086347826,38.784375
67.66666667,1.126388432,4376,101.875,29.83,94.23500214,7.900000095,1.074375,5.353125,0.086347826,38.784375
54.33333333,1.126388432,4376,101.875,29.83,94.23500214,7.900000095,1.074375,5.353125,0.086347826,38.784375
58.66666667,1.126388432,4376,101.875,29.83,94.23500214,7.900000095,1.074375,5.353125,0.086347826,38.784375
67.1,1.126388432,4376,101.875,29.83,94.23500214,7.900000095,1.074375,5.353125,0.086347826,38.784375
62.66666667,1.126388432,4376,101.875,29.83,94.23500214,7.900000095,1.074375,5.353125,0.086347826,38.784375
66.75,1.126388432,4376,101.875,29.83,94.23500214,7.900000095,1.074375,5.353125,0.086347826,38.784375
51,1.126388432,4376,101.875,29.83,94.23500214,7.900000095,1.074375,5.353125,0.086347826,38.784375
56.11111111,1.126388432,4376,101.875,29.83,94.23500214,7.900000095,1.074375,5.353125,0.086347826,38.784375
44.5,1.126388432,4376,101.875,29.83,94.23500214,7.900000095,1.074375,5.353125,0.086347826,38.784375
83.33333333,1.126388432,4376,101.875,29.83,94.23500214,7.900000095,1.074375,5.353125,0.086347826,38.784375
36.5,1.126388432,4376,101.875,29.83,94.23500214,7.900000095,1.074375,5.353125,0.086347826,38.784375
45.42857143,1.126388432,4376,101.875,29.83,94.23500214,7.900000095,1.074375,5.353125,0.086347826,38.784375
74,1.126388432,4376,101.875,29.83,94.23500214,7.900000095,1.074375,5.353125,0.086347826,38.784375
50.42857143,1.126388432,4376,101.875,29.83,94.23500214,7.900000095,1.074375,5.353125,0.086347826,38.784375
57,1.126388432,4376,101.875,29.83,94.23500214,7.900000095,1.074375,5.353125,0.086347826,38.784375
32.75,1.126388432,4376,101.875,29.83,94.23500214,7.900000095,1.074375,5.353125,0.086347826,38.784375
133.375,1.126388432,4376,101.875,29.83,94.23500214,7.900000095,1.074375,5.353125,0.086347826,38.784375
131.5,1.126388432,4376,101.875,29.83,94.23500214,7.900000095,1.074375,5.353125,0.086347826,38.784375
123.5,1.126388432,4376,101.875,29.83,94.23500214,7.900000095,1.074375,5.353125,0.086347826,38.784375
125.5,0.218000786,1584,107.2167,37.7,7.974000023,1.550000012,1.358417355,8.263636364,0.229399994,51.37268595
106.6666667,0.218000786,1584,107.2167,37.7,7.974000023,1.550000012,1.358417355,8.263636364,0.229399994,51.37268595
125.1111111,0.218000786,1584,107.2167,37.7,7.974000023,1.550000012,1.358417355,8.263636364,0.229399994,51.37268595
115.5,0.218000786,1584,107.2167,37.7,7.974000023,1.550000012,1.358417355,8.263636364,0.229399994,51.37268595
123.75,0.218000786,1584,107.2167,37.7,7.974000023,1.550000012,1.358417355,8.263636364,0.229399994,51.37268595
119.625,0.622978933,2546,101.2024,28.6828,74.17399577,5.926529714,1.01078595,6.250256198,0.562852144,42.13255372
121.4,0.622978933,2546,101.2024,28.6828,74.17399577,5.926529714,1.01078595,6.250256198,0.562852144,42.13255372
152,0.622978933,2546,101.2024,28.6828,74.17399577,5.926529714,1.01078595,6.250256198,0.562852144,42.13255372
128.6,0.622978933,2546,101.2024,28.6828,74.17399577,5.926529714,1.01078595,6.250256198,0.562852144,42.13255372
132,0.622978933,2546,101.2024,28.6828,74.17399577,5.926529714,1.01078595,6.250256198,0.562852144,42.13255372
130.1666667,0.622978933,2546,101.2024,28.6828,74.17399577,5.926529714,1.01078595,6.250256198,0.562852144,42.13255372
124.8,0.622978933,2546,101.2024,28.6828,74.17399577,5.926529714,1.01078595,6.250256198,0.562852144,42.13255372
139,0.622978933,2546,101.2024,28.6828,74.17399577,5.926529714,1.01078595,6.250256198,0.562852144,42.13255372
144,0.622978933,2546,101.2024,28.6828,74.17399577,5.926529714,1.01078595,6.250256198,0.562852144,42.13255372
134,0.622978933,2546,101.2024,28.6828,74.17399577,5.926529714,1.01078595,6.250256198,0.562852144,42.13255372
133.6666667,0.1555151,1439,111.8947,41.7786,12.73340138,2.205875242,1.408818182,8.148522727,0.189569563,53.11879778
133.5,0.1555151,1439,111.8947,41.7786,12.73340138,2.205875242,1.408818182,8.148522727,0.189569563,53.11879778
135,0.1555151,1439,111.8947,41.7786,12.73340138,2.205875242,1.408818182,8.148522727,0.189569563,53.11879778
133.9090909,0.1555151,1439,111.8947,41.7786,12.73340138,2.205875242,1.408818182,8.148522727,0.189569563,53.11879778
134.2,0.368836543,3305,100.715,36.915,30.62200026,2.730000019,1.095716684,8.017962293,0.209204346,42.34474432
128.3333333,0.368836543,3305,100.715,36.915,30.62200026,2.730000019,1.095716684,8.017962293,0.209204346,42.34474432
130,0.368836543,3305,100.715,36.915,30.62200026,2.730000019,1.095716684,8.017962293,0.209204346,42.34474432
133.25,0.368836543,3305,100.715,36.915,30.62200026,2.730000019,1.095716684,8.017962293,0.209204346,42.34474432
141.75,0.368836543,3305,100.715,36.915,30.62200026,2.730000019,1.095716684,8.017962293,0.209204346,42.34474432
134,0.368836543,3305,100.715,36.915,30.62200026,2.730000019,1.095716684,8.017962293,0.209204346,42.34474432
106.1538462,0.368836543,3305,100.715,36.915,30.62200026,2.730000019,1.095716684,8.017962293,0.209204346,42.34474432
96.66666667,0.368836543,3305,100.715,36.915,30.62200026,2.730000019,1.095716684,8.017962293,0.209204346,42.34474432
94.85714286,0.368836543,3305,100.715,36.915,30.62200026,2.730000019,1.095716684,8.017962293,0.209204346,42.34474432
140.4615385,0.354120363,1411,116.99,42.43,32.20299997,4.718999901,1.298507231,7.512086777,0.335608691,55.38744835
128.25,0.354120363,1411,116.99,42.43,32.20299997,4.718999901,1.298507231,7.512086777,0.335608691,55.38744835
141.0769231,0.354120363,1411,116.99,42.43,32.20299997,4.718999901,1.298507231,7.512086777,0.335608691,55.38744835
139.2307692,0.213478643,1036,116.35,44.225,25.4000001,3.400000095,1.337693698,7.867045455,0.235004351,61.69052169
136.6,0.213478643,1036,116.35,44.225,25.4000001,3.400000095,1.337693698,7.867045455,0.235004351,61.69052169
138.5,0.213478643,1036,116.35,44.225,25.4000001,3.400000095,1.337693698,7.867045455,0.235004351,61.69052169
136.1111111,0.213478643,1036,116.35,44.225,25.4000001,3.400000095,1.337693698,7.867045455,0.235004351,61.69052169
